x,y,z,PIR,time
27072,-6184,3164,0,2019-06-04 14:12:36.012373
924,-10640,-22240,0,2019-06-04 14:12:36.115993
12704,9968,20744,1000,2019-06-04 14:12:36.224665
-1448,1532,7164,1000,2019-06-04 14:12:36.328245
10428,3628,16596,1000,2019-06-04 14:12:36.431793
428,-1792,11836,1000,2019-06-04 14:12:36.540545
304,-2748,13224,1000,2019-06-04 14:12:36.644116
-24,-2700,14176,1000,2019-06-04 14:12:36.747655
-264,-3016,12908,1000,2019-06-04 14:12:36.851224
584,-1840,12948,1000,2019-06-04 14:12:36.959837
60,-2484,13656,1000,2019-06-04 14:12:37.063379
-40,-2468,13376,1000,2019-06-04 14:12:37.166909
48,-1744,13068,1000,2019-06-04 14:12:37.270444
164,-2576,13448,1000,2019-06-04 14:12:37.379044
-52,-2584,13968,1000,2019-06-04 14:12:37.483150
-412,-2712,13396,1000,2019-06-04 14:12:37.587556
-372,-2528,13900,1000,2019-06-04 14:12:37.691057
-116,-2308,13432,1000,2019-06-04 14:12:37.803927
-352,-2648,13780,1000,2019-06-04 14:12:37.907415
-904,-2724,13388,1000,2019-06-04 14:12:38.010982
-228,-2556,13836,1000,2019-06-04 14:12:38.123933
-184,-2552,13760,1000,2019-06-04 14:12:38.228422
-112,-2680,13448,1000,2019-06-04 14:12:38.332630
-256,-2876,13648,1000,2019-06-04 14:12:38.444311
64,-2808,13828,1000,2019-06-04 14:12:38.547869
-56,-2624,13736,1000,2019-06-04 14:12:38.651423
-324,-2680,13680,1000,2019-06-04 14:12:38.765082
460,-2348,13640,1000,2019-06-04 14:12:38.868641
-720,-2616,13636,1000,2019-06-04 14:12:38.972188
-32,-2552,14064,1000,2019-06-04 14:12:39.084402
-120,-2760,13796,1000,2019-06-04 14:12:39.188104
-340,-2752,13864,1000,2019-06-04 14:12:39.291683
-456,-2664,13596,1000,2019-06-04 14:12:39.400619
-332,-2572,13248,1000,2019-06-04 14:12:39.505078
-360,-2640,13492,1000,2019-06-04 14:12:39.608615
-132,-2664,14052,1000,2019-06-04 14:12:39.712328
